,YearBuilt,total,Complaint Type,complaints
0,2001,3802,HEATING,772
1,1999,3186,HEATING,385
2,1889,16,HEATING,4
3,1951,644,HEATING,2160
4,1930,69439,HEATING,42534
5,1869,9,HEATING,1
6,1943,158,HEATING,55
7,1939,831,HEATING,6131
8,1858,7,HEATING,6
9,2011,1222,HEATING,149
10,1978,820,HEATING,246
11,1830,6,HEATING,1
12,1979,515,HEATING,252
13,1934,325,HEATING,933
14,1886,17,HEATING,1
15,1900,7123,HEATING,19734
16,1987,3340,HEATING,408
17,1986,3208,HEATING,208
18,1967,538,HEATING,1167
19,1924,1801,HEATING,17695
20,1834,5,HEATING,1
21,1981,484,HEATING,252
22,1887,11,HEATING,9
23,1918,194,HEATING,1294
24,1966,517,HEATING,1167
25,1931,28144,HEATING,65847
26,1989,3043,HEATING,428
27,1856,8,HEATING,17
28,2013,1137,HEATING,103
29,1765,1,HEATING,2
30,1922,972,HEATING,12202
31,1876,2,HEATING,3
32,1977,636,HEATING,187
33,1885,16,HEATING,17
34,1909,723,HEATING,5025
35,1958,665,HEATING,1680
36,1850,31,HEATING,13
37,1915,14255,HEATING,14589
38,1884,8,HEATING,1
39,1964,835,HEATING,5490
40,1860,26,HEATING,28
41,1842,8,HEATING,2
42,2008,2446,HEATING,1523
43,1901,21571,HEATING,11932
44,1912,604,HEATING,5054
45,2009,1532,HEATING,610
46,1942,284,HEATING,1245
47,2014,1336,HEATING,56
48,1873,4,HEATING,1
49,2000,3534,HEATING,633
50,1976,547,HEATING,309
51,1941,608,HEATING,7392
52,1866,5,HEATING,5
53,1899,20666,HEATING,8661
54,1965,17466,HEATING,6182
55,1956,647,HEATING,1553
56,1846,6,HEATING,1
57,1953,485,HEATING,1014
58,1949,643,HEATING,2314
59,1913,460,HEATING,5149
60,1920,81560,HEATING,56545
61,1917,428,HEATING,3467
62,2007,3608,HEATING,1673
63,1898,26,HEATING,91
64,1940,34378,HEATING,9875
65,1968,531,HEATING,399
66,1971,417,HEATING,440
67,1902,108,HEATING,274
68,1890,317,HEATING,358
69,1997,2710,HEATING,300
70,1998,2365,HEATING,496
71,2010,1013,HEATING,445
72,1888,12,HEATING,11
73,1911,575,HEATING,6088
74,1957,810,HEATING,1623
75,2002,3596,HEATING,789
76,2005,5171,HEATING,3109
77,1882,9,HEATING,1
78,1961,704,HEATING,4033
79,2015,504,HEATING,27
80,1937,564,HEATING,9373
81,1974,722,HEATING,1078
82,1904,228,HEATING,1263
83,1973,732,HEATING,648
84,2003,3822,HEATING,1370
85,1992,2732,HEATING,361
86,1891,28,HEATING,2
87,1851,6,HEATING,1
88,1988,3073,HEATING,488
89,1875,11,HEATING,3
90,1952,587,HEATING,1852
91,1800,141,HEATING,11
92,1947,318,HEATING,342
93,1995,2186,HEATING,186
94,1822,2,HEATING,1
95,1950,43565,HEATING,5988
96,1945,22814,HEATING,1482
97,1962,833,HEATING,7051
98,1843,9,HEATING,1
99,2012,1281,HEATING,216
100,1892,12,HEATING,2
101,1993,2134,HEATING,302
102,1955,24146,HEATING,4631
103,1983,1025,HEATING,281
104,1914,499,HEATING,4737
105,1985,3065,HEATING,661
106,1975,8485,HEATING,1022
107,2006,4241,HEATING,2656
108,1933,902,HEATING,766
109,1954,541,HEATING,1723
110,1984,1152,HEATING,304
111,1923,1399,HEATING,12274
112,1916,533,HEATING,5505
113,1921,949,HEATING,6136
114,1980,4704,HEATING,732
115,1991,1904,HEATING,358
116,1994,1794,HEATING,210
117,1844,11,HEATING,6
118,1944,158,HEATING,43
119,1929,1762,HEATING,20030
120,1893,12,HEATING,14
121,1946,289,HEATING,260
122,1848,12,HEATING,6
123,1960,33544,HEATING,8319
124,1919,268,HEATING,968
125,1908,294,HEATING,1225
126,1881,39,HEATING,3
127,1948,527,HEATING,2147
128,1996,3007,HEATING,237
129,1935,22735,HEATING,6667
130,1926,2612,HEATING,26498
131,1982,667,HEATING,396
132,1928,3655,HEATING,31425
133,1972,551,HEATING,1678
134,1963,957,HEATING,5719
135,1840,15,HEATING,8
136,1905,6504,HEATING,10803
137,1927,2777,HEATING,33859
138,1936,549,HEATING,4748
139,1969,424,HEATING,1096
140,1836,4,HEATING,1
141,1970,15069,HEATING,2127
142,1903,149,HEATING,481
143,1932,1098,HEATING,3109
144,1990,2977,HEATING,292
145,1938,650,HEATING,4854
146,1895,41,HEATING,32
147,2004,5678,HEATING,2430
148,1906,629,HEATING,5348
149,1896,31,HEATING,13
150,1910,39849,HEATING,50129
151,2016,7,HEATING,2
152,1872,4,HEATING,2
153,1907,541,HEATING,5595
154,1897,15,HEATING,8
155,1925,64222,HEATING,36914
156,1959,820,HEATING,4728
157,1880,114,HEATING,52
