,YearBuilt,total,complaints
0,1903,182,16
1,1953,569,33
2,1957,949,29
3,1897,19,1
4,1987,3803,16
5,1956,766,33
6,1936,641,101
7,2012,1487,6
8,1958,813,49
9,1856,11,3
10,1910,46759,1287
11,1943,201,1
12,1915,16443,406
13,1972,631,41
14,1931,32631,1640
15,1911,706,163
16,1926,3149,881
17,1938,763,108
18,1988,3596,17
19,1918,254,26
20,1932,1238,69
21,1977,728,6
22,1971,498,17
23,1984,1333,10
24,2013,1355,1
25,1941,745,174
26,1982,778,14
27,1919,309,21
28,2005,6013,87
29,2000,4192,19
30,1965,19655,148
31,1906,755,132
32,1962,956,237
33,1954,649,39
34,1930,77268,1124
35,1909,877,114
36,1898,30,1
37,1981,553,14
38,1940,38368,316
39,1901,25689,354
40,1978,1010,7
41,1974,855,43
42,2002,4189,12
43,1959,927,90
44,1995,2559,5
45,1964,947,144
46,1905,7630,364
47,1946,344,9
48,1899,24934,247
49,1908,350,33
50,2006,4853,97
51,1858,7,1
52,1904,273,35
53,1921,1157,157
54,1927,3277,1063
55,1916,650,154
56,1976,657,12
57,1942,324,47
58,1935,25463,188
59,1947,380,6
60,1967,619,26
61,1968,631,7
62,1890,429,12
63,1922,1165,382
64,1883,8,2
65,1924,2135,487
66,2004,6528,82
67,1939,968,177
68,1989,3607,6
69,1992,3171,11
70,1961,820,91
71,1951,764,75
72,1966,613,35
73,2008,2915,2
74,1900,9610,568
75,1955,26829,147
76,1917,517,89
77,1999,3726,13
78,1963,1099,127
79,1994,2130,5
80,1950,47880,192
81,1997,3164,16
82,1973,852,34
83,1925,70838,849
84,2007,4090,38
85,1996,3478,7
86,1983,1163,5
87,1923,1633,278
88,1969,507,37
89,1914,599,142
90,1980,5462,18
91,1907,651,133
92,1944,177,1
93,1960,37212,283
94,1902,134,8
95,1934,372,24
96,1937,667,228
97,1896,42,2
98,1948,603,48
99,1895,51,1
100,1986,3742,6
101,1952,691,52
102,1985,3477,19
103,1929,2130,597
104,1979,628,10
105,1912,720,129
106,1998,2762,23
107,1949,748,59
108,1993,2459,2
109,2001,4543,15
110,1885,25,1
111,1913,580,161
112,1800,166,1
113,2010,1200,1
114,1990,3508,7
115,1991,2262,9
116,2003,4442,22
117,1928,4353,1030
118,1945,24979,40
119,1975,9743,46
120,1970,17143,74
121,1933,966,19
122,1920,91566,1335
