ZIP Code	Type	Common Cities	County	Area Codes
00501	Unique	Holtsville	Suffolk County	Area Code 631
00544	Unique	Holtsville	Suffolk County	Area Code 631
06390	PO Box	Fishers Island, Fishers Isle	Suffolk County	Area Code 631
10001	Standard	New York	New York County	Area Code 718
10002	Standard	New York, Knickerbocker	New York County	Area Code 718
10003	Standard	New York	New York County	Area Code 212
10004	Standard	New York, Bowling Green	New York County	Area Code 212
10005	Standard	New York, Wall Street	New York County	Area Code 347
10006	Standard	New York, Trinity	New York County	Area Code 917
10007	Standard	New York	New York County	Area Code 212
10008	PO Box	New York	New York County	Area Code 212
10009	Standard	New York	New York County	Area Code 212
10010	Standard	New York	New York County	Area Code 212
10011	Standard	New York	New York County	Area Code 212
10012	Standard	New York, Prince	New York County	Area Code 646
10013	Standard	New York, Canal Street, Chinatown	New York County	Area Code 347
10014	Standard	New York	New York County	Area Code 212
10015	Standard	New York	New York County	Area Code 212
10016	Standard	New York	New York County	Area Code 212
10017	Standard	New York	New York County	Area Code 212
10018	Standard	New York	New York County	Area Code 212
10019	Standard	New York	New York County	Area Code 212
10020	Standard	New York	New York County	Area Code 212
10021	Standard	New York	New York County	Area Code 347
10022	Standard	New York	New York County	Area Code 212
10023	Standard	New York	New York County	Area Code 212
10024	Standard	New York	New York County	Area Code 212
10025	Standard	New York	New York County	Area Code 212
10026	Standard	New York	New York County	Area Code 212
10027	Standard	New York	New York County	Area Code 212
10028	Standard	New York	New York County	Area Code 212
10029	Standard	New York	New York County	Area Code 212
10030	Standard	New York	New York County	Area Code 212
10031	Standard	New York	New York County	Area Code 212
10032	Standard	New York	New York County	Area Code 212
10033	Standard	New York	New York County	Area Code 212
10034	Standard	New York	New York County	Area Code 212
10035	Standard	New York	New York County	Area Code 212
10036	Standard	New York	New York County	Area Code 212
10037	Standard	New York	New York County	Area Code 212
10038	Standard	New York, Peck Slip	New York County	Area Code 212
10039	Standard	New York	New York County	Area Code 212
10040	Standard	New York	New York County	Area Code 347
10041	Standard	New York	New York County	Area Code 212
10043	Unique	New York	New York County	Area Code 212
10044	Standard	New York, Roosevelt Isl, Roosevelt Island	New York County	Area Code 646
10045	Standard	New York	New York County	Area Code 212
10046	Unique	New York	New York County	Area Code 212
10047	Unique	New York	New York County	Area Code 212
10048	Standard	New York, Manhattan, World Trade Ctr, Nyc	New York County	Area Code 212
10055	Standard	New York	New York County	Area Code 212
10060	Standard	New York	New York County	Area Code 347
10065	Standard	New York	New York County	Area Code 212
10069	Standard	New York	New York County	Area Code 917
10072	Unique	New York, Philip Morris	New York County	Area Code 212
10075	Standard	New York	New York County	Area Code 347
10079	Unique	New York	New York County	Area Code 212
